Comment,Sentiment
Epic video! W MRBEAST!,Positive
Nolan pulling Madison beer is actually giving me some hope,Positive
Love planning,Positive
Nolan's face loll,Neutral
King of all Social sides,Positive
The Goat,Positive
It wasn’t just a video, it was a video full of memories,Positive
WHAT GRADE DID YOU GET ON THE HISTORY TEST??,Neutral
bro got so happy right there,Positive
'i was around you for years for free, i can be a little closer for k' absolute chad LMAO,Positive
Wow nice challenge,Positive
Yeah dude! You made it! Congrats!,Positive
Chandler is a legend,Positive
Congratulations on hitting M dude,Positive
I stay for life,Neutral
Nolans nukes,Neutral
Wow, this is insane. I LOVE YOUR VIDEOS,Positive
That’s the kindness u help the world,Positive
Yeah, you did it, how great u are,Positive
I am proud that there are such people in our world and Orkun is shining :),Positive
The ending is so heartwarming,Positive
“TIME FOR HUGGIES!”,Neutral
Bro is just trying to get a personal pilot for days,Positive
You should put her in videos more often she’s soo awesome,Positive
Thank you team water,Positive
Coach Wall will be always in our Memories,Positive
Can i have a million dollars?,Neutral
Seeing your old goals completely obliterated is super inspiring. Thanks for sharing this with us.,Positive
Sorry for the loss of Coach Wall/ He was a great person,Positive
Bro got dawged I think,Neutral
the part where they had to find a solution in the library and apply that knowledge to break the rock faster was incredible,Positive
Congratulations on your success bro,Positive
I think future you has a little more than a million subs,Positive
Living underwater in a submarine for days,Neutral
Changing world with team water,Positive
Mrbeast plz do potatoes challenge plz,Neutral
Nolan's ideal partner, the turkey hahaha,Neutral
Nolan with Madison carried this video,Positive
this was rlly motivating, proves what dedication can do,Positive
This is not a challenge, this is a story that made me cry a lot.,Positive
im so proud of nolan,Positive
I loved that with all these temptations he chose to be as comfortable as possible with her.,Positive
$ wedding vs m$ wedding is gonna be crazy,Neutral
Yeah dude! You made it! Congrats!,Positive
With this clever trick... he got a personal pilot for days without paying almost anything!,Positive
"I Better have M subs"" and got M Insane"",Positive"
He will be remembered by millions he was the kindest gym trainer we ever sawn,Positive
It's been hours and I'm still stuck on,Neutral
Nolan with Maddison, I'm dyinngggg,Positive
you might have crossed million,Positive
Thank you,Positive
You are amazing, you have come a long way Congratulations,Positive
Excited to work with you guys,Positive
Yeah we made the right person famous.,Positive
Happy for Nolan,Positive
Im so happy for nolan.I hope they stay together.,Positive
smyw,Neutral
First thing I thought of when I saw this was “nothing beats a Jet holiday!”,Positive
DJ Khaled remains undefeated.,Positive
Always getting into exciting adventures,Positive
The Best Episode of All Time,Positive
Its great to be part of this project,Positive
Seeing gordan calm is a very rare sighting that I’ve been blessed with,Positive
‘’Another one’’,Neutral
Buy books and stories. Read endlessly. Buy toys and games.,Neutral
bro got so happy right there,Positive
No no no how That's is crazy the relationship with them was incredible We love you coach wall,Positive
the motorcycle part sent me,Positive
You just about passed the m mark. Congrats!,Positive
one of the best mrbeast video for a while,Positive
crazy,Positive
This video is the best example of what happens when you focus on a clear goal.,Positive
Buy books and stories. Read endlessly. Buy toys and games.,Neutral
As a person whos teying to lose weight I am now encouraged and enlightened to see him lose pounds in a month And lbs in months...,Positive
mrbeast is the best,Positive
I am glad you take safety seriously, probably the most important thing.,Positive
Coach wall wasn`t Just a coach ,he was.a brother,Positive
I wasn’t expecting the video is emotional,Positive
Caught your lonely ahh smiling,Neutral
Sometimes success isn’t about talent, it’s about endurance. This video shows it perfectly.,Positive
smyw,Neutral
A wall should be unmovable, Coach Wall moved us all,Positive
Bro do the challenge of spending days as a astronaut pllsss,Neutral
“Babe don’t get insecure he’s just an ex” The ex:,Neutral
I just realised, I was smiling throughout the video !,Positive
It's crazy how flying past M to M has changed your confidence and charisma congrats on + years of hard work and creativity!,Positive
Mind blown!!!,Positive
tom the turkey is so majestic,Positive
That curve on DJ Khalid’s Stoma- I mean- uh- that curve on chandlers golf shot was amazing!,Positive
Such a legend you are!,Positive
First time seeing mrbeast happy uffff,Positive
Very happy seeing you two happy,Positive
The way you present is very impressive I will come back to watch it again.,Positive
I want this Challenge,Neutral
Coach wall is a literal legend,Positive
Proud to be a part of this one <,Positive
In the future you can do stay in a yacht for days And also Stay in a Submarine for days,Neutral
Alooo(potato) farming challenge you should do,Neutral
Its so heart warming to see nolan get more comfortable talking,Positive
I couldn't survive there,Positive
it was magical,Positive
he can def still see,Neutral
Congrats on your success bruvv,Positive
DJ KHALED SEGMENT GOT ME,Positive
i think cameramen is invisible,Neutral
Coach Wall - is the most wonderfull person who i've seen,Positive
was crazy,Positive
Congratulations!! YEARS!,Positive
Only if Hersheys saw this,Neutral
This was so hard to watch, being alone and losing your buddy you truly loved I hope he is getting better,Positive
chander for president!,Positive
Straight to the point, love it.,Positive
You should do a challenge surviving days with David Goggins,Neutral
thought he was gonna quit,Neutral
This is by far the craziest video out your whole life,Positive
that canon is crazy,Positive
i really love your vedios,Positive
What if mrbeast become the President? Then the world will be,Positive
As a pilot, I’m jealous,Neutral
I'm actually really happy for them. I hope they stay together,Positive
That shampoo's was personal,Neutral
Salute kind men,Positive
This stuff restores faith in humanity,Positive
man if i was locked in there being able to play only tetris and minesweeper, i would prepare to become tetris champion lol,Neutral
Yeah.. you got a little more than M,Positive
You are an inspiration to all creators out there !!,Positive
These vids getting crazier and crazier each time,Positive
Coach wall is always in our hearts,Positive
omg Ryan trahan was there, it’s an airbnb,Neutral
Bro is insanely successful,Positive
this is one of the Airbnb’s that Ryan Trahan stayed in for the states in days series,Neutral
This the type of uplifting motivation people need,Positive
“TIME FOR HUGGIES!”,Neutral
Thanks for million view,Positive
Eh proud of Ian for doing the right thing. Now he’s earned a friend for life and that’s priceless.,Positive
strongest men and the humble guys,Positive
Success On Peak Consistency is the key of Success!!!,Positive
Bro, the fishes are happy to have so much money,Neutral
Even if we can't donate, let's support this video so more people can see it and help.,Positive
Nice Bro ! Step by step, we're heading towards million!,Positive
I think you passed that million mark bro,Positive
So happy to be a part of this,Positive
Buying a Motorcycle after a breakup is the realest thing to do lol,Neutral
I’m so sorry for your loss,Positive
Just a great man changing life of people in need!,Positive
I loved the another days,Positive
The next challenge is '$ wedding vs M $',Neutral
Now do cop vs million donuts,Neutral
Yes,Neutral
Congratulations on your journey fam,Positive
You did it bro,Positive
years is crazy, congrats!,Positive
k to m, in years, insane. love that you do this videos, i hope there are more coming in the future?,Positive
this is one of the Airbnb’s that Ryan Trahan stayed in for the states in days series,Neutral
Bro could beat Ronaldo but couldn't beat speed,Neutral
Wow the definition of resilience,Positive
I love helping and supporting small creators,Positive
This is insane days is a lot in such a confined space,Positive
I'm eating feastables for the first time.,Neutral
TechnologyTaj,Neutral
Congratulations.This is really inspirational!,Positive
Love the use of beast games guards!,Positive
Was great to see Colin in your video, been following him for years!! Awesome creator and builder.,Positive
I can literally learn English through your videos. It is so useful when I can both study and entertain!,Positive
big love from youtubers indonesia,Positive
Congrats bro, you did it, we love you from Brazil!,Positive
dollar prisoner vs million dollar prisoner,Neutral
This is awesome !!!! What a Beautiful Blessing,Positive
Bro just burned money but he's still chill,Positive
We made the right person popular,Positive
What was your score in that history test?,Neutral
rainbows and horses,Neutral
Not Nolan laughing with Madison,Positive
The military is so kind to support creators,Positive
- mango mustard,Neutral
Congrats bro!,Positive
This is one of the best social experiments I have ever experienced,Positive
that canon is crazy,Positive
I’ve always wondered how do people get picked for these videos because I could easily do months on a jet for the jet and an additional half a million dollars,Neutral
i really love you,Positive
I've been to that hotel it's a w,Positive
Ian has gained a loyal friend for life,Positive
bro that’s where ryan trahan stayed,Neutral
Most unexpected collabes,Neutral
Mrbeast is a Mythical Legend,Positive
Amazing video,Positive
Imagine a huge box truck converted into a tiny room with beds, snacks, fans, and even a gaming console. But here’s the twist — the truck keeps driving around the city nonstop! Every hour, a new surprise,Neutral
A Man with Diamond Heart,Positive
The exPrisoner is definitely The OG of this challenge,Neutral
Coach Wall what a legend R.I.P.,Positive
absolute cornball,Neutral
“even though Christmas was months ago.” While the captions say . That’s kinda funny.,Neutral
Love planning,Positive
Supper chaileng,,Positive
Have of the worlds smartest people compete in a series of intellectual puzzles & games ranging from History, science, mathematics ect. winner take all,Neutral
"And even tho you don't need it it comes with shampoo!"""" Bro roasted him respectfully"",Neutral"
FREE PALESTINE,Neutral
The first ever mrbeast video that made me cry,Positive
Under hour,Neutral
yo what,Neutral
This is so touching.,Positive
The coach treated him with such determination and kindness,Positive
bro just casually has a junk jet,Neutral
Coach R. I. P COACH I LOVE YOU COACH,Positive
Is it me or this is actually insane?,Positive
You guys are truly amazing. Creating entertaining content and helping people at the same time!,Positive
lets just say you have way more than a million subs lmaoo,Positive
Your dad and Coach Wall are proud of you, Majd.,Positive
It’s just so amazing to see people coming together as a humanity to do what the people in charge have failed to. We made the right people famous,Positive
Very beautiful video,Positive
Next challenge survive mount everest days,Neutral
HE’S READING FOURTH WING OMG,Neutral
Chandler hitting the car try was insane We need more chandler,Positive
Let's agree that the only reason to watch the full video is to see whether they became a couple again,Neutral
"bro took ""lemme just try it out"" a little too far,Neutral"
We love you Coach, without you this wouldn't have been possible,Positive
This was so hard to watch, being alone and losing your buddy you truly loved I hope he is getting better,Positive
The content is amazing I learned a lot from it.,Positive
Nice challenge,Positive
Disneyland scene was insane,Positive
The strongmen lost because they didn’t have Eddie Hall and The Mountain,Negative
btw the biggest indoor ski slope in america is in new jersery not new york,Neutral
she missed her chance to say every date is priceless with you,Neutral
days? Try doing days deployed, then involuntarily extended. This is very much doable.,Neutral
This is the best video you’ve made yet.,Positive
Congratulations bro, u passed subs.,Positive
So happy nolan is not gegting bullied anymore :),Positive
Bro gone through character development throughout the whole video,Positive
Dude, the coach was nicest person ive ever seen.,Positive
Do a challenge where someone has to quit smoking and alcohol ?,Neutral
Nolan is literally me,Neutral
Nolan was too excited about that joke,Neutral
literally proved of anyone can beat a gorilla,Positive
The Dollar Date is actually $... Who we kidding?,Neutral
This performance is exactly what I needed It helped me understand better.,Positive
finally happy ending,Positive
We want to challenge a teenager days without technology.,Neutral
Ohhh wow,Positive
You are fantástic...,Positive
Best,Positive
Next challenge survive underwater Days.,Neutral
I hope you get that million subs bro, I'll be rooting for you~,Positive
million in days is crazy,Positive
next vid should be $ vs $, dating advice for nolan.,Neutral
Nice to see Colin there, been following him for years,Positive
He found the perfect ex couple to do this with because they were both WAY too enthusiastic about this bro,Positive
Amazing,Positive
Thanks for allowing us to be a part of this collaboration,Positive
thousand to M is INSANE,Positive
Congratulations you made it. You’ve gone so far. That’s so crazy how far you’ve come!,Positive
Cool,Positive
Absolute Cinema,Positive
I can’t believe it’s been years bro, insane,Positive
Nah both of them just trolling each other is gold fr,Positive
he’s definitely a gamer,Neutral
Only if Hersheys saw this,Neutral
Bro using the book from the library to destroy the rock was genius,Positive
Not even the strongest man in the world,Negative
Kinda hard to watch ts while being single,Negative
Colombia is grateful to you, simply thank you,Positive
U made it to Million Buddy,Positive
The production quality is worth sharing I will come back to watch it again.,Positive
Bro I actually cried there,Positive
Happy th anniversary man, you are a true legend!!,Positive
Is it me or this is actually insane?,Positive
days without growing a hair that's awesome man,Positive
An Absolute Legend,Positive
That’s some wild challenges!,Positive
Where's the million dollars man... got me rollin,Neutral
is crazy,Positive
Instead of going on vacation, you should use the prize money to open a low-cost or VIP flight business.,Neutral
These videos just get crazier and crazier...,Positive
It's crazy how flying past M to M has changed your confidence and charisma congrats on + years of hard work and creativity!,Positive
what stops them from stealing all the prize money ending the challenge then sharing the half afterwards?,Neutral
Thank you all for helping people in need, I am from Indonesia and I love you all.,Positive
Madison Beer being with Nolan before gta is crazy,Neutral
"I guess this proves the whole thing of: ""people overestimate what they can do in year but underestimate what they can do in years"" thing.,Positive"
Nolan having awkwardness rizz is crazy to see!!,Positive
Bro's evolved, he's in the billions now,Positive
Success On Peak Consistency is the key of Success!!!,Positive
Bro went from gaslighting, to getting help, to fixing himself all in days, kudos to them, he won more than just money.,Positive
days living without technology.,Neutral
Lets support these small creators!,Neutral
This was honestly really wholesome!,Positive
Very Hard Challenge,Neutral
The ultimate test for any relationship: a -foot chain and a shared bathroom schedule,Neutral
thought he was gonna quit,Neutral
So money can buy happiness,Neutral
I admire the determination it took to achieve this. So proud of you!,Positive
“even though you don’t need it it comes with shampoo” is crazy,Neutral
We Who's wee ¿,Neutral
Singles button,Neutral
TEAM WATER,Positive
This is by far your most powerful and impactful video. We love you Coach Wall,Positive
They stuck together I’m so happy for them both,Positive
Glad Chandlers back.,Positive
Any fellow doodling fans on this page?,Neutral
This is one of the best social experiments I have ever experienced,Positive
This is legendary. You've made history!,Positive
They stuck together I’m so happy for them both,Positive
that’s nice,Positive
These videos just get crazier and crazier...,Positive
"years not seeing eachother and the first thing bro said was ""What's up dude?"",Neutral"
“I’m frickin terrified” “what’d you say?” “I’m exited”,Neutral
It's crazy how flying past M to M has changed your confidence and charisma congrats on + years of hard work and creativity!,Positive
It’s honestly calming to see him actually happy,Positive
First thing I thought of when I saw this was “nothing beats a Jet holiday!”,Positive
Amazing to see how far you've come, happy year anniversary,Positive
Under hour gang,Neutral
We need part two of Nolan and Madison in a date,Neutral
editors were edging us bruh,Neutral
We want to challenge a teenager days without technology.,Neutral
happy years! congrats!!,Positive
Great vidio,Positive
Team water has a golden heart,Positive
Congrats, you've really made it,Positive
Bro gone through character development throughout the whole video,Positive
use trigonometry,Neutral
NAH THATS PLAIN FOUL CALLING SOMEONE BALD WITHOUT TRYING,Neutral
Coach wall you will be remembered,Positive
Congratulations!, years are going by so fast.,Positive
you might have crossed million,Positive
Congratulations for M subs,Positive
As always, a really entertaining video...,Positive
Nolan's a legend,Positive
First time seeing mrbeast happy uffff,Positive
The Cheyenne Mountain complex and the base used for the Stargate SG series are incredible.,Positive
Even alan becker joined,Positive
Deepest condolences and congrats dude.,Positive
Can’t wait for the $ wedding vs $M wedding sequel.,Neutral
Thank you team for helping people love from Nepal,Positive
"Even though you don't need it it comes with a shampoo"""""",Neutral"
Coach Wall was a legend and will always be remembered,Positive
Hello, congratulations,Positive
One of the most influential video I have ever seen I started the same thing here and I lost around .kg /month,Positive
This has been awesome and heart felt video. So proud of what you’ve built over the last years and excited to see where it goes into the future. Continue being the amazing person you are!,Positive
Proud to be involved,Positive
I work in the Cheyenne Mountain complex. This video was a great example of how much more money the government has. The Complex is actually a lot bigger than what it shows in the video.,Neutral
Caught your lonely ahh smiling,Neutral
Can i have a million dollars?,Neutral
This proves the point that all you need to stay happy is one little sign of progress. Great video,Positive
Hella proud bro,Positive
use trigonometry,Neutral
I love this thanks for changing a life Jami,Positive
Epic video! W MRBEAST!,Positive
So I would revive days buried alive or if it's better underwater in a submarine,Neutral
Nice to see Chandler,Positive
"we're not eating tom"""""",Neutral"
a blast from the past,Positive
Choosing a bed instead of Lamborghini is worth it,Positive
I can’t believe we got nolan dating madison before gta,Neutral
Man your videos just get crazier and crazier! Also mil views in hours is INSANE!,Positive
In the future you can do stay in a yacht for days And also Stay in a Submarine for days,Neutral
That was a Blast from the Past and great seeing Colin Furze.,Positive
Choosing a bed instead of Lamborghini is worth it,Positive
Do challenge Messi and Cristiano Ronaldo in one room days.,Neutral
I admire the determination it took to achieve this. So proud of you!,Positive
With this clever trick... he got a personal pilot for days without paying almost anything!,Positive
Not only me seeing this whole video being single,Neutral
nice to see you madj,Positive
this is very big,Neutral
CONGRATULATIONS, you've made it.,Positive
l love that you use your influence to help people.,Positive
bro needs to hesitate,Neutral
There were many lessons in this video. Patience, caring, unselfishness, etc. Thanks,Positive
Nothing beats a Jet holiday — the vibes, the views, the value. Absolute perfection!,Positive
Dude,the coach was the nicest person I've ever seen..,Positive
Be THERE or be SQUAREE!!..,Neutral
Damn he really loves her, love to see you both!!,Positive
Happy for you and the journey from k subs to Million is crazy,Positive
UNDER HOURS GANG,Neutral
Tom the Turkey has more self control then Noland,Neutral
Congrats bro, you did it, we love you from Brazil!,Positive
PROUD TO BE APART OF THIS JOURNEY <,Positive
Now I see how much power there is in unity.,Positive
The ultimate test for any relationship: a -foot chain and a shared bathroom schedule,Neutral
THANKYOU FOR GIVING COLIN THE GOAT SO MUCH SCREEN TIME !!!!,Positive
Its nice to see that many people are supporting smaller content creators,Neutral
Josh’s motorcycle… sacrificed for love again,Positive
That shampoo's was personal,Neutral
Is was amazing,Positive
I said where’s the prize money,Neutral
May the Coach have a splendid life in the hereafter,Positive
The Cheyenne two is just absolutely crazy. Stargate vibes but even better!,Positive
Yeah,Neutral
days for THIS?! WORTH IT. LEGENDARY ending!,Positive
I'm proud that I was able to be one of the creators to help out,Positive
Congrats brother,Positive
Just A Legend,Positive
So nice seeing them togerther,Positive
Nolan's face loll,Neutral
that’s so sweetttt,Positive
is literally the reason why it is important that we read books,Positive
Proud of lan for doing the right. he earned a friend for life.,Positive
Team water has a golden heart,Positive
THANK YOU FOR HELPING ALL OF THOSE PEOPLE,Positive
This is legendary. You've made history!,Positive
U should do a underwater challenge,Neutral
the villan arc,Neutral
Also seeing nolan not getting bullied feels so much better,Positive
The Strongest Man just unlocked “babysitter mode”,Neutral
This video is the best example of what happens when you focus on a clear goal.,Positive
If bro was single he'd easily do the extra . Relationships and marriages come at a cost of a certain freedom and free will,Neutral
Bro is insanely successful,Positive
madison driving and nolan being a passanger prince is killing meeeeee,Positive
You are an inspiration to all creators out there !!,Positive
Bro is not just a YouTuber bro is a hero,Positive
Nothing beats a Jet holiday — the vibes, the views, the value. Absolute perfection!,Positive
This is just.. too wholesome.,Positive
got me dying bro,Positive
Congratulations bro, mi,Positive
Bro gone through character development throughout the whole video,Positive
I love watching young creators. Hope you get million subs,Positive
Congrats,Positive
Alooo(potato) farming challenge you should do,Neutral
The coach was so nice it sad to hear that he sadly passed,Positive
Thank all for making a difference in the world with team water im happy to be a part of it! :),Positive
Bless you guys,Positive
How did maddison beer pull Nolan,Neutral
Chandler was goated fr in this one,Positive
At is that a Fortnite animation,Neutral
Missed opportunity, shoulda asked where the stargate was.,Neutral
Bro when I heard that coach passed I was just stunned. The ending is so happy and sad at the same time,Positive
Druski and Dechambeau and lots of chandler features made this a great video,Positive
Interesting man,Positive
Whyyy this is very cute!,Positive
Lol container,Neutral
Congratulations bro, you made it,Positive
This was INSANELY hard,Neutral
Its great to be part of this project,Positive
use it as an Uber,Neutral
You are truly proof of the power of believing and achieving. This is a manifesto,Positive
nice handshake,Positive
"WE did this"" is crazy"",Neutral"
mustard? mango? is that you?,Neutral
UNDER HOUR CLUB,Neutral
bro said,Neutral
Holy Chandler. Didn’t think bro had a clutch bone in him,Positive
Team Water is a great initiative,Positive
Yes, you have succeeded and become the most famous YouTuber in the world. Our warmest congratulations to you.,Positive
We love you Coach, without you this wouldn't have been possible,Positive
The best video of them all,Positive
This challenge story made me cry,Positive
Congrats brother,Positive
You just about passed the m mark. Congrats!,Positive
Litterally cried with Majd when he found out the news about coach :(. Overall, such an inspiration both coach and Majd as I am currently trying to lose weight and this gives me hope that in consistency there will be progress. :),Positive
i genuinely almost cried to this,Positive
Truly honored to be a part of this,Positive
The risk YouTubers take for content is insane,Neutral
Parkour challenge ?,Neutral
Your influence changes someone's life,Positive
This might be the most sad yet wholesome videos I've ever watched thank you for changing and incouriging so many people for the better,Positive
Mrbeast can do anything to people as long as money is involved,Negative
Congratulations man,Positive
skeletons vs pekkas,Neutral
All the stunts here were super easy,Negative
He helps more than the government. What a hero!,Positive
Bro you are not a loser...You are a true legend,Positive
Love this video,Positive
BEE THERE OR BEE SQUARE,Neutral
The curve on Chandler's golf shot was insane,Positive
Even alan becker joined,Positive
The feeling of Majd when he heard the news of coach Wall,Positive
It’s honestly calming to see him actually happy,Positive
Who wants to be part of Mrbeast video,Neutral
KISS,Neutral
Seeing Nolan happy and in love was the best part of the video.,Positive
Bless you guys,Positive
Mrbeast is the king of youtubers,Positive
Tell me I wasn't the only one who cried,Positive
Look at Jimmy's Face,Neutral
Choosing a bed instead of Lamborghini is worth it,Positive
The editing in this video is on top dude,Positive
Nothing beats a Jet Holiday! wow inspire,Positive
Bro is so jacked,Positive
I am always wondering, if taking all the money and splitting it after the video is allowed? It would make so much sense so often...,Neutral
Nice to see Chandler,Positive
"WE did this"" is crazy"",Neutral"
DO NOT TEXT YOUR EXES!!,Neutral
The risk YouTubers take for content is insane,Neutral
Doordash needs to come to more countrys,Neutral
Do challenge Messi and Cristiano Ronaldo in one room days.,Neutral
" $ for no shower no brainer"""" sm clip that"",Neutral"
He in your heart,Positive
Best Content Creator Love from Ghana,Positive
How do you make Big Head Bob cry tears of joy in every video :),Positive
Hella proud bro,Positive
Congratulations on more than mill,Positive
Majd we all cried with you for Coach Wall.,Positive
Amazing video,Positive
WHAT GRADE DID YOU GET ON THE HISTORY TEST??,Neutral
Congratulations on your success bro,Positive
Colin Furze is awesome .And the decommissioned missile silo is really cool,Positive
You are the source of success, Beast. Congratulations. I wish you continued success.,Positive
Yeah dude! You made it! Congrats!,Positive
,Neutral
Great content,Positive
Instead of going on vacation, you should use the prize money to open a low-cost or VIP flight business.,Neutral
Thank you so much for the partnership! We’re truly happy to be part of this amazing project alongside the Team Water community.,Positive
I love these videos,Positive
he’s definitely a gamer,Neutral
Opened the app at the perfect time,Neutral
Love you bro,Positive
Wow, this is insane. I LOVE YOUR VIDEOS,Positive
Cant believe how far he has come! Congrats!,Positive
THE GOAT IS BACKK,Positive
This is actually so cool to see, safe to say you have more than a million,Positive
Been following Colin Furze for years and think it’s awesome that he got a feature! What he can build is mind blowing,Positive
We love you, Coach Wall.,Positive
so much has changed. happy year anniversary,Positive
the Hershey company after watching the video,Neutral
Mans had to read a book to understand the cues from ex of years,Neutral
I am your fan,Positive
And now you are successful bro we are from the future,Positive
coach wall will be in our hearts,Positive
Cant believe how far he has come! Congrats!,Positive
This is one the greatest video from mrbeast i have ever seen,Positive
This Brought Me To Tears… may peace be upon the sweet coach:(,Positive
Nolan actually being treated nice for once is amazing to see,Positive
I think Coach Wall is very proud of him , he was strong and pushed trough,Positive
Nolans nukes,Neutral
we all were rooting for the strong men right,Neutral
You did bro,Positive
Nolan has so much aura after than,Positive
It's very cute,Positive
IS THAT SADIE FROM RDR???,Neutral
So happy to be joining you in this!,Positive
Helping people lose weight is the best thing for him,Positive
The curve on chandlers gold shot was insane,Positive
When are we getting streamers VS YouTubers,Neutral
Sometimes love takes a break just to prove it was strong enough to return.,Positive
The Cheyenne two is just absolutely crazy. Stargate vibes but even better!,Positive
!!!!OMG so cuteeee!!!!,Positive
This is definitely the most touching video I have ever seen.,Positive
This is amazing,Positive
After being stuck for days, he finally stepped off the jet only to get right back on!,Neutral
Congrats for years anniversary,Positive
Who wants to be part of Mrbeast video,Neutral
COLIN FURZE NO WAY,Positive
is diabolical,Neutral
Nolan trying to rizz was crazy,Positive
The is the purest form of opening a time capsule…. Awesome.,Positive
you’re doing great,Positive
Moral of the video: communication, understanding is important in a relationship.,Positive
I‘m toooooo sad for the Coach I love you Coach Wall,Positive
Thank you guys for the compassion you have for others,Positive
Nah both of them just trolling each other is gold fr,Positive
"He had the chance to say ""This might be the dollar date but with you, its priceless"",Neutral"
I was worried about the finale, but I'm so glad that they didn't betray each other,Positive
Yeah,Neutral
Next challenge should be days in space,Neutral
Congratulations,Positive
flaxan mark,Neutral
Bro the firework shot was crazy cool,Positive
Is was amazing,Positive
Airack I see u at,Neutral
"""we will do it together""-coach tyer wall ~rest in peace~,Positive"
Just want see Nolan and medison beer in days underground video challenge,Neutral
Love seeing NOLAN happy here,Positive
Just a beginner here ! But still I will try to contribute as much as I can,Positive
I have to say, I love the way you merge other previous videos with this video, so cool!,Positive
The best project that brings together YouTubers,Positive
Absolutely insane. Congratulations!!!,Positive
What a strong man, he deserved it,Positive
To your date. Nolan’s date experience was really funny ./ video of course,Positive
Congrats on the million, maybe you will get mil in the future,Positive
Jimmy’s casually bringing couples back together,Positive
Incredible years. Congrats!!,Positive
"Daddy?"""""",Neutral"
I actually thought Josh was a supervillain for a sec,Neutral
bro was happy,Positive
Bro honestly the coach thing made me cry,Positive
You got your Million,Positive
Congrats for mil. Didn't even notice omg,Positive
I love how they include him in videos now,Positive
Bro spend a hundred days in that jet and still went to a holiday right after stepping on the ground,Neutral
Wow congratulations,Positive
Did this video remind anyone else of Fear Factor?,Neutral
This made me almost tear up. Hard hitting. I love this video,Positive
This guy’s story telling skills have gone to another level,Positive
"Oh"""""",Neutral"
nice challenging video,Positive
Bro made sure that they don't overcome their past relationship...,Negative
Madison Beer going on a date with Nolan was way too hilarious,Positive
I love how genuine Nolan is,Positive
THAT WAS PERSONAL,Neutral
This is awesome !!!! What a Beautiful Blessing,Positive
tb when Mac lost,Neutral
"Josh wants sunlight. Suzie ""no but the chain will be only feet!"" Suzie wants a Tesla. Josh ""no worries we can do feet!"",Negative"
ryan trahan's days series nostalgia (missle silo),Positive
The last part was supposed to be the hardest and he jogged through it. Lol,Positive
who is we?,Neutral
I'm actually really happy for them. I hope they stay together,Positive
What did you get on that test?,Neutral
I absolutely LOVE her accent,Positive
Bro is not just a YouTuber bro is a hero,Positive
Honestly bringing the people from past videos was great,Positive
Nolan and Madison Beer wedding when?,Neutral
welcome to Riyadh season,Neutral
Survive the World’s Largest Escape Room, how bout that for a challenge,Neutral
Seeing your old goals completely obliterated is super inspiring. Thanks for sharing this with us.,Positive
Once again, we have shown that friendship is the best,Positive
ABSOLUTE CINEMA,Positive
Yeah.. you got a little more than M,Positive
This so sad,Positive
This stuff restores faith in humanity,Positive
what a fantastic video was it,Positive
Nolan bro staring at them kiss,Neutral
This guy’s story telling skills have gone to another level,Positive
happy ending,Positive
"- the cup that said "" minute walk"" LMAO!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Where? Where are you gonna walk?,Neutral"
Next challange underwater,Neutral
I didn't expect this video to be so emotional... Salute Coach Wall,Positive
Do a challehge where someone has to quit smoking,Neutral
the doctor wanted to see how much he weighed hahahhahah,Neutral
he is awesome,Positive
That made me tear up when he told him coach wall passed,Positive
W coach bro, he was the best person that anyone could ever asked for to be their coach,Positive
This is the closest thing to men vs gorilla,Neutral
“even though Christmas was months ago.” While the captions say . That’s kinda funny.,Neutral
or am???,Neutral
It's really amazing how time has flown,Positive
Have of the worlds smartest people compete in a series of intellectual puzzles games ranging from History Chandler, Speed, gorilla, winner take all.,Neutral
say that again…,Neutral
You guys are the reason why I still hope for humanity!!,Positive
Congrats on the mil bro,Positive
Him bringing out bible versus was amazing,Positive
Next challenge: Climb mount everest.,Neutral
This was probably one of the most interesting videos you've made, it's cool how they kind of created the plot and you were just there givng them stuff to do so.,Positive
Love you,Positive
who is we?,Neutral
I am so happy that karl and Nolan is in this video. They are so funny,Positive
Nepal,Neutral
Just want see Nolan and medison beer in days underground video challenge,Neutral
Did anyone else check to see how much longer the video was after the k offer?,Neutral
Insane!!!!!,Positive
Lock someone up with their crush next,Neutral
This one kept giving me chills!,Positive
Yes, you have succeeded and become the most famous YouTuber in the world. Our warmest congratulations to you.,Positive
Saying no to the shower just to say yes to the little yard is insane.,Positive
YOU SUPERMEN MRJIMMI,Positive
W Khaled he was just enjoying,Positive
I want this Challenge,Neutral
This challenge story made me cry,Positive
The ultimate test for any relationship: a -foot chain and a shared bathroom schedule,Neutral
Bro was roasting her the whole video,Neutral
I donated today! I’m super excited about giving,Positive
Tom was the dinner of the night it is said,Neutral
“We did it”who is we,Neutral
Bro is really very big and kind hearted,Positive
“no takeies backsies”,Neutral
you might have crossed million,Positive
OMG THIS CHALLENGE WAS BRUTAL!!! Glad that Ian did the right thing by not stealing all the money.,Positive
Thanks for million subscriber,Positive
How proud would I be to watch this video now? That's really amazing.,Positive
I admire the determination it took to achieve this. So proud of you!,Positive
Airack I see u at,Neutral
For the first time I am among the first two million people to watch the video,Neutral
Congratulations you made it. You’ve gone so far. That’s so crazy how far you’ve come!,Positive
This was the most friendly teamwork I’ve ever seen :D,Positive
